,Migrant remittance outflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
93,Italy,106.0,108.0,127.0,175.0,198.0,247.0,208.0,243.0,304.0,350.023286,428.036303,445.6458202,517.1821725,502.2112684,499.843065,606.2758151,795.433662,1286.0,1926.0,2700.367941,3764.413514,2781.017867,2686.0,2533.0,2234.0,1823.0,2083.0,2168.0,2375.0,2552.772711,2582.005298,2716.0,3582.237425,4366.619546,5513.184385,7545.815811,8351.772204,11182.034627,14445.316276,14390.123216,12885.667788,14500.933995,11825.663076,11629.332093,11132.583951,9442.566912,9376.753152
94,Jamaica,,,,,,,40.9,34.9,34.6,37.8,35.2,35.0,32.2,36.5,38.9,57.8,41.5,40.2,23.2,24.1,26.7,26.9,29.1,26.6,54.9,74.1,96.0,116.9,134.1,149.5,179.2,216.6,277.7,341.6,424.559865,368.74151437,357.92685012,396.18257762999997,364.61702869,268.99771136000004,279.30992694,305.48514038,333.54051319,297.42570758,275.08179832,287.14024,298.112476
95,Japan,,,,,,,,130.0,160.0,200.0,220.0,240.0,330.0,320.0,290.0,,,,,,,1300.0,1370.0,1580.0,1580.0,1820.0,3556.0,3624.0,3399.0,3539.0,3169.0,2944.0,3345.0,1773.0,1411.0,1149.5373167,3332.1645882,3639.371943,4548.0883475,3932.0463671999996,4365.7147324,4536.1703925,4042.5710706,2872.3305594000003,4214.7617586,4000.341456,5064.714688
96,Jordan,,,,,,,20.482956,45.614698,65.464446,79.917822,154.0,158.0,177.0,201.0,254.0,236.0,247.0,184.0,155.0,91.060102,70.515838,61.105331,86.057651,78.073089,93.023019,107.0,99.858956,200.0,207.0,204.118477,197.131171,192.849672,193.849089,226.798307,272.157969,349.22425948,401.55148091,479.26673469,471.77916774,502.25352108,605.21126763,549.8591549199999,684.78873241,534.92957747,675.2112676400001,596.760564,570.000008
97,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,503.6,422.2,522.1,470.9,355.5,440.44194,486.8791,594.666638,802.0,1354.0,1893.1317752999998,2958.4854608,4212.277482,3461.671985,2934.061283,3005.77488,3409.435907,3808.907823,3803.988119,3550.131173,3116.48192,2394.53824
98,Kenya,,,,,,5.719582470000001,17.4492019,12.807252,22.770250899999997,18.4607753,13.476748800000001,13.484390400000002,10.8951161,11.4186838,6.7990045,5.5379353,6.6560902,9.1160519,7.663223810000001,2.91651949,7.20059705,3.8461725074,7.38744246,,7.136412099999999,8.749785300000001,8.7542881,45.864899,70.600679,26.039933,,5.0914426,5.714348,6.5845295,34.022965,56.408976700000004,25.39901236,16.36450759,64.49540113,60.803848020000004,19.10387846,25.8573065,14.50913733,16.19841972,170.9534815,,
99,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09214455694,0.5451327702000001,0.5769693103,0.5569914562,1.030968417,1.200629113,1.216064729,1.1033763600000002,1.13784162,0.9480759375,0.9369865
100,"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Korea, Rep.",,,,,,,1.0,2.0,3.0,4.0,57.7,33.3,26.8,21.4,36.6,27.0,36.5,33.9,154.6,821.6,1026.2,1274.3,1409.0,1180.4,1356.4,2062.0,2900.0,2796.2,1682.2,2492.3,3650.6,4499.2,5843.8,7932.3,8306.0,6667.3,7215.1,7723.1,7545.2,7152.7,9123.0,9585.9,9380.3,8990.9,9570.5,8365.199872,10346.300416
102,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.86877873,161.801214811,119.9414869864,95.988452966,126.551985742,155.546609042,127.15191257400001,151.00680092,118.039626491,106.28226497,99.76949236,68.3714445,66.7406155
